,Brand,Model,Type,Dimension (in),Screen Resolution,CPU Brand,CPU Model,CPU Frequency (GHz),GPU Brand,GPU Model,RAM (GB),HDD,SSD,OS,Weight (kg),Price (Euro)
140,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,No OS,2.2,549.0
141,Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel,Core i7 8550U,1.8,AMD,Radeon 530,8,False,True,Windows,1.4,931.88
142,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel,Core i5 7200U,2.5,Nvidia,GeForce GTX 940MX,8,True,False,No OS,2.8,589.0
143,HP,Probook 440,Notebook,14.0,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 930MX,8,False,True,Windows,1.63,1031.0
144,Dell,Latitude 5490,Ultrabook,14.0,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,False,True,Windows,,1149.0
145,Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,AMD,Radeon 520,8,False,True,Linux,2.2,677.35
146,HP,ProBook 450,Notebook,15.6,1920x1080,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,8,True,,Windows,2.1,794.0
147,Dell,Alienware 17,Gaming,17.3,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,16,True,True,Windows,4.42,2456.34
148,Acer,Aspire E5-576G,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,Nvidia,GeForce 940MX,8,,True,Windows,2.2,832.0
149,Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M445,16,True,False,Windows,2.3,859.01
150,Asus,Vivobook X541UV-DM1217T,Notebook,15.6,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce 920MX,8,False,True,Windows,2.0,769.0
151,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,1920x1080,Intel,Core i5 7200U,2.5,Nvidia,GeForce GTX 950M,8,True,True,Windows,,891.0
152,HP,ZBook 15u,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,FirePro W4190M,8,True,False,Windows,1.9,1269.0
153,Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,Intel,HD Graphics 620,4,True,False,Windows,2.37,398.99
154,Lenovo,Legion Y720-15IKB,Gaming,15.6,1920x1080,Intel,Core i7 7700HQ,2.8,Nvidia,GeForce GTX 1060,16,True,True,Windows,3.2,1499.0
155,Dell,Vostro 5468,Notebook,14.0,1920x1080,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,8,False,True,Windows,1.6,859.0
156,Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel,Core i7 7500U,2.7,AMD,Radeon R7 M445,16,False,True,Linux,2.36,899.0
157,Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,4,True,False,Linux,2.1,390.0
158,Asus,ROG G703VI-E5062T,Gaming,17.3,1920x1080,Intel,Core i7 7820HK,2.9,Nvidia,GeForce GTX 1080,32,True,True,Windows,4.7,3890.0
159,Acer,Nitro AN515-51,Gaming,15.6,1920x1080,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,8,False,True,Windows,2.5,846.0
160,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,8,False,True,Windows,2.2,589.0
161,Asus,VivoBook Pro,Notebook,17.3,1920x1080,Intel,Core i7 8550U,1.8,Nvidia,GeForce 150MX,8,True,True,Windows,2.1,1145.0
